@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute jaw-1 numeric
@attribute outputs-1 numeric

@data
700,'2022/05/10 14:59:34:877',3,22.487991,?
701,'2022/05/10 14:59:34:910',3,22.415331,?
702,'2022/05/10 14:59:34:964',3,22.330507,?
703,'2022/05/10 14:59:34:986',3,22.311575,?
704,'2022/05/10 14:59:35:029',3,22.228195,?
705,'2022/05/10 14:59:35:052',3,22.111473,?
706,'2022/05/10 14:59:35:077',3,22.115471,?
707,'2022/05/10 14:59:35:111',3,22.157593,?
708,'2022/05/10 14:59:35:145',3,22.064627,?
709,'2022/05/10 14:59:35:178',3,22.0387,?
710,'2022/05/10 14:59:35:211',3,21.995668,?
711,'2022/05/10 14:59:35:245',3,22.00383,?
712,'2022/05/10 14:59:35:279',3,22.013332,?
713,'2022/05/10 14:59:35:301',3,21.95417,?
714,'2022/05/10 14:59:35:362',3,21.913733,?
715,'2022/05/10 14:59:35:384',3,21.926064,?
716,'2022/05/10 14:59:35:428',3,21.92787,?
717,'2022/05/10 14:59:35:450',3,21.899681,?
718,'2022/05/10 14:59:35:478',3,21.872162,?
719,'2022/05/10 14:59:35:512',3,21.950621,?
720,'2022/05/10 14:59:35:545',3,21.896196,?
721,'2022/05/10 14:59:35:580',3,21.860365,?
722,'2022/05/10 14:59:35:608',3,21.850307,?
723,'2022/05/10 14:59:35:644',3,21.954197,?
724,'2022/05/10 14:59:35:677',3,21.930891,?
725,'2022/05/10 14:59:35:730',3,21.923861,?
726,'2022/05/10 14:59:35:752',3,21.899803,?
727,'2022/05/10 14:59:35:794',3,21.849197,?
728,'2022/05/10 14:59:35:817',3,21.805845,?
729,'2022/05/10 14:59:35:863',3,21.837929,?
730,'2022/05/10 14:59:35:884',3,21.881327,?
731,'2022/05/10 14:59:35:909',3,21.975431,?
732,'2022/05/10 14:59:35:945',3,21.945908,?
733,'2022/05/10 14:59:35:984',3,21.969755,?
734,'2022/05/10 14:59:36:007',3,22.131792,?
735,'2022/05/10 14:59:36:045',3,22.315506,?
736,'2022/05/10 14:59:36:095',3,22.139381,?
737,'2022/05/10 14:59:36:117',3,22.103876,?
738,'2022/05/10 14:59:36:163',3,22.188793,?
739,'2022/05/10 14:59:36:185',3,22.192495,?
740,'2022/05/10 14:59:36:211',3,22.224321,?
741,'2022/05/10 14:59:36:245',3,22.309536,?
742,'2022/05/10 14:59:36:278',3,22.437206,?
743,'2022/05/10 14:59:36:311',3,22.411465,?
744,'2022/05/10 14:59:36:345',3,22.392443,?
745,'2022/05/10 14:59:36:379',3,22.550665,?
746,'2022/05/10 14:59:36:413',3,22.66633,?
747,'2022/05/10 14:59:36:463',3,22.744251,?
748,'2022/05/10 14:59:36:487',3,23.013077,?
749,'2022/05/10 14:59:36:529',3,22.954866,?
750,'2022/05/10 14:59:36:551',3,23.088655,?
751,'2022/05/10 14:59:36:604',3,23.162701,?
752,'2022/05/10 14:59:36:627',3,23.335005,?
753,'2022/05/10 14:59:36:652',3,23.420799,?
754,'2022/05/10 14:59:36:680',3,23.419262,?
755,'2022/05/10 14:59:36:712',3,23.402798,?
756,'2022/05/10 14:59:36:756',3,23.375055,?
757,'2022/05/10 14:59:36:780',3,23.412685,?
758,'2022/05/10 14:59:36:831',3,23.340738,?
759,'2022/05/10 14:59:36:853',3,23.09197,?
760,'2022/05/10 14:59:36:897',3,23.087189,?
761,'2022/05/10 14:59:36:926',3,23.005465,?
762,'2022/05/10 14:59:36:948',3,22.957172,?
763,'2022/05/10 14:59:37:002',3,22.992651,?
764,'2022/05/10 14:59:37:035',3,23.0306,?
765,'2022/05/10 14:59:37:056',3,22.866583,?
766,'2022/05/10 14:59:37:078',3,22.797953,?
767,'2022/05/10 14:59:37:118',3,22.749893,?
768,'2022/05/10 14:59:37:157',3,22.642365,?
769,'2022/05/10 14:59:37:199',3,22.586031,?
770,'2022/05/10 14:59:37:233',3,22.540112,?
771,'2022/05/10 14:59:37:259',3,22.505823,?
772,'2022/05/10 14:59:37:307',3,22.384306,?
773,'2022/05/10 14:59:37:341',3,22.423416,?
774,'2022/05/10 14:59:37:365',3,22.447113,?
775,'2022/05/10 14:59:37:388',3,22.391281,?
776,'2022/05/10 14:59:37:414',3,22.388313,?
777,'2022/05/10 14:59:37:446',3,22.21187,?
778,'2022/05/10 14:59:37:482',3,22.295004,?
779,'2022/05/10 14:59:37:512',3,22.254154,?
780,'2022/05/10 14:59:37:574',3,22.284781,?
781,'2022/05/10 14:59:37:599',3,22.231472,?
782,'2022/05/10 14:59:37:620',3,22.186365,?
783,'2022/05/10 14:59:37:665',3,22.264568,?
784,'2022/05/10 14:59:37:697',3,22.304333,?
785,'2022/05/10 14:59:37:725',3,22.303745,?
786,'2022/05/10 14:59:37:771',3,22.371138,?
787,'2022/05/10 14:59:37:796',3,22.340803,?
788,'2022/05/10 14:59:37:830',3,22.342043,?
789,'2022/05/10 14:59:37:859',3,22.415583,?
790,'2022/05/10 14:59:37:885',3,22.364206,?
791,'2022/05/10 14:59:37:934',3,22.471951,?
792,'2022/05/10 14:59:37:956',3,22.385954,?
793,'2022/05/10 14:59:38:006',3,22.468601,?
794,'2022/05/10 14:59:38:037',3,22.458649,?
795,'2022/05/10 14:59:38:070',3,22.561489,?
796,'2022/05/10 14:59:38:102',3,22.749565,?
797,'2022/05/10 14:59:38:135',3,22.731199,?
798,'2022/05/10 14:59:38:160',3,22.572519,?
799,'2022/05/10 14:59:38:181',3,22.540533,?
800,'2022/05/10 14:59:38:217',3,22.555496,?
801,'2022/05/10 14:59:38:246',3,22.664536,?
802,'2022/05/10 14:59:38:295',3,22.796005,?
803,'2022/05/10 14:59:38:333',3,22.876429,?
804,'2022/05/10 14:59:38:368',3,22.770649,?
805,'2022/05/10 14:59:38:390',3,22.827288,?
806,'2022/05/10 14:59:38:430',3,22.719282,?
807,'2022/05/10 14:59:38:454',3,22.653572,?
808,'2022/05/10 14:59:38:506',3,22.725498,?
809,'2022/05/10 14:59:38:540',3,22.804253,?
810,'2022/05/10 14:59:38:562',3,22.688704,?
811,'2022/05/10 14:59:38:592',3,22.790695,?
812,'2022/05/10 14:59:38:614',3,22.634659,?
813,'2022/05/10 14:59:38:663',3,22.63871,?
814,'2022/05/10 14:59:38:697',3,22.660917,?
815,'2022/05/10 14:59:38:730',3,22.586779,?
816,'2022/05/10 14:59:38:772',3,22.635141,?
817,'2022/05/10 14:59:38:795',3,22.717293,?
818,'2022/05/10 14:59:38:831',3,22.520006,?
819,'2022/05/10 14:59:38:860',3,22.512114,?
820,'2022/05/10 14:59:38:903',3,22.412495,?
821,'2022/05/10 14:59:38:925',3,22.442379,?
822,'2022/05/10 14:59:38:965',3,22.348183,?
823,'2022/05/10 14:59:38:998',3,22.343895,?
824,'2022/05/10 14:59:39:031',3,22.359253,?
825,'2022/05/10 14:59:39:069',3,22.380039,?
826,'2022/05/10 14:59:39:097',3,22.415888,?
827,'2022/05/10 14:59:39:138',3,22.420473,?
828,'2022/05/10 14:59:39:171',3,22.402779,?
829,'2022/05/10 14:59:39:200',3,22.430923,?
830,'2022/05/10 14:59:39:231',3,22.289865,?
831,'2022/05/10 14:59:39:263',3,22.361162,?
832,'2022/05/10 14:59:39:297',3,22.29895,?
833,'2022/05/10 14:59:39:326',3,22.344118,?
834,'2022/05/10 14:59:39:348',3,22.311041,?
835,'2022/05/10 14:59:39:397',3,22.32737,?
836,'2022/05/10 14:59:39:430',3,22.357693,?
837,'2022/05/10 14:59:39:466',3,22.504862,?
838,'2022/05/10 14:59:39:497',3,22.498526,?
839,'2022/05/10 14:59:39:536',3,22.52396,?
840,'2022/05/10 14:59:39:569',3,22.55088,?
841,'2022/05/10 14:59:39:591',3,22.668764,?
842,'2022/05/10 14:59:39:640',3,22.571327,?
843,'2022/05/10 14:59:39:663',3,22.507898,?
844,'2022/05/10 14:59:39:686',3,22.589392,?
845,'2022/05/10 14:59:39:740',3,22.574835,?
846,'2022/05/10 14:59:39:787',3,22.559397,?
847,'2022/05/10 14:59:39:819',3,22.523165,?
848,'2022/05/10 14:59:39:854',3,22.617338,?
849,'2022/05/10 14:59:39:887',3,22.588392,?
850,'2022/05/10 14:59:39:913',3,22.599516,?
851,'2022/05/10 14:59:39:935',3,22.549164,?
852,'2022/05/10 14:59:39:968',3,22.592514,?
853,'2022/05/10 14:59:39:990',3,22.560471,?
854,'2022/05/10 14:59:40:037',3,22.551321,?
855,'2022/05/10 14:59:40:071',3,22.647045,?
856,'2022/05/10 14:59:40:099',3,22.805868,?
857,'2022/05/10 14:59:40:126',3,22.719725,?
858,'2022/05/10 14:59:40:193',3,22.662611,?
859,'2022/05/10 14:59:40:220',3,22.655043,?
860,'2022/05/10 14:59:40:243',3,22.685966,?
861,'2022/05/10 14:59:40:268',3,22.6406,?
862,'2022/05/10 14:59:40:308',3,22.63896,?
863,'2022/05/10 14:59:40:342',3,22.602602,?
864,'2022/05/10 14:59:40:366',3,22.599997,?
865,'2022/05/10 14:59:40:399',3,22.635023,?
866,'2022/05/10 14:59:40:433',3,22.690725,?
867,'2022/05/10 14:59:40:455',3,22.724327,?
868,'2022/05/10 14:59:40:498',3,22.707935,?
869,'2022/05/10 14:59:40:550',3,22.711571,?
870,'2022/05/10 14:59:40:579',3,22.743801,?
871,'2022/05/10 14:59:40:607',3,22.698063,?
872,'2022/05/10 14:59:40:639',3,22.579165,?
873,'2022/05/10 14:59:40:667',3,22.684891,?
874,'2022/05/10 14:59:40:700',3,22.64572,?
875,'2022/05/10 14:59:40:735',3,22.584326,?
876,'2022/05/10 14:59:40:757',3,22.499382,?
877,'2022/05/10 14:59:40:798',3,22.521133,?
878,'2022/05/10 14:59:40:830',3,22.523438,?
879,'2022/05/10 14:59:40:877',3,22.423748,?
880,'2022/05/10 14:59:40:926',3,22.513376,?
881,'2022/05/10 14:59:40:961',3,22.501795,?
882,'2022/05/10 14:59:40:992',3,22.482561,?
883,'2022/05/10 14:59:41:024',3,22.541567,?
884,'2022/05/10 14:59:41:051',3,22.363159,?
885,'2022/05/10 14:59:41:082',3,22.374067,?
886,'2022/05/10 14:59:41:114',3,22.290077,?
887,'2022/05/10 14:59:41:138',3,22.319887,?
888,'2022/05/10 14:59:41:162',3,22.408243,?
889,'2022/05/10 14:59:41:209',3,22.324257,?
890,'2022/05/10 14:59:41:236',3,22.255854,?
891,'2022/05/10 14:59:41:283',3,22.155256,?
892,'2022/05/10 14:59:41:317',3,22.065897,?
893,'2022/05/10 14:59:41:351',3,22.061377,?
894,'2022/05/10 14:59:41:385',3,22.085407,?
895,'2022/05/10 14:59:41:415',3,22.136091,?
896,'2022/05/10 14:59:41:437',3,22.104761,?
897,'2022/05/10 14:59:41:464',3,22.070362,?
898,'2022/05/10 14:59:41:502',3,22.077436,?
899,'2022/05/10 14:59:41:532',3,22.126324,?
900,'2022/05/10 14:59:41:565',3,22.097601,?
901,'2022/05/10 14:59:41:600',3,22.18862,?
902,'2022/05/10 14:59:41:657',3,22.229769,?
903,'2022/05/10 14:59:41:686',3,22.176186,?
904,'2022/05/10 14:59:41:718',3,22.183563,?
905,'2022/05/10 14:59:41:752',3,22.105604,?
906,'2022/05/10 14:59:41:782',3,21.987545,?
907,'2022/05/10 14:59:41:815',3,22.01243,?
908,'2022/05/10 14:59:41:842',3,22.040089,?
909,'2022/05/10 14:59:41:875',3,22.182959,?
910,'2022/05/10 14:59:41:909',3,22.315929,?
911,'2022/05/10 14:59:41:940',3,22.302515,?
912,'2022/05/10 14:59:41:973',3,22.355598,?
913,'2022/05/10 14:59:42:023',3,22.357876,?
914,'2022/05/10 14:59:42:057',3,22.320028,?
915,'2022/05/10 14:59:42:086',3,22.545563,?
916,'2022/05/10 14:59:42:119',3,22.4907,?
917,'2022/05/10 14:59:42:151',3,22.400526,?
918,'2022/05/10 14:59:42:183',3,22.49682,?
919,'2022/05/10 14:59:42:205',3,22.527889,?
920,'2022/05/10 14:59:42:234',3,22.598398,?
921,'2022/05/10 14:59:42:275',3,22.564613,?
922,'2022/05/10 14:59:42:298',3,22.691324,?
923,'2022/05/10 14:59:42:332',3,22.661064,?
924,'2022/05/10 14:59:42:396',3,22.551811,?
925,'2022/05/10 14:59:42:422',3,22.621019,?
926,'2022/05/10 14:59:42:451',3,22.665167,?
927,'2022/05/10 14:59:42:483',3,22.559175,?
928,'2022/05/10 14:59:42:517',3,22.568684,?
929,'2022/05/10 14:59:42:551',3,22.551355,?
930,'2022/05/10 14:59:42:571',3,22.411243,?
931,'2022/05/10 14:59:42:606',3,22.418074,?
932,'2022/05/10 14:59:42:629',3,22.388779,?
933,'2022/05/10 14:59:42:679',3,22.490355,?
934,'2022/05/10 14:59:42:710',3,22.525093,?
935,'2022/05/10 14:59:42:762',3,22.569359,?
936,'2022/05/10 14:59:42:790',3,22.505829,?
937,'2022/05/10 14:59:42:813',3,22.42885,?
938,'2022/05/10 14:59:42:850',3,22.425335,?
939,'2022/05/10 14:59:42:874',3,22.381453,?
940,'2022/05/10 14:59:42:927',3,22.300472,?
941,'2022/05/10 14:59:42:959',3,22.302938,?
942,'2022/05/10 14:59:42:986',3,22.184885,?
943,'2022/05/10 14:59:43:010',3,22.188118,?
944,'2022/05/10 14:59:43:040',3,21.947737,?
945,'2022/05/10 14:59:43:070',3,22.100029,?
946,'2022/05/10 14:59:43:126',3,22.00078,?
947,'2022/05/10 14:59:43:155',3,22.116783,?
948,'2022/05/10 14:59:43:183',3,22.292002,?
949,'2022/05/10 14:59:43:216',3,22.325747,?
950,'2022/05/10 14:59:43:237',3,22.284004,?
951,'2022/05/10 14:59:43:284',3,22.337622,?
952,'2022/05/10 14:59:43:316',3,22.36039,?
953,'2022/05/10 14:59:43:346',3,22.321198,?
954,'2022/05/10 14:59:43:379',3,22.393345,?
955,'2022/05/10 14:59:43:409',3,22.362375,?
956,'2022/05/10 14:59:43:442',3,22.535395,?
957,'2022/05/10 14:59:43:492',3,22.550913,?
958,'2022/05/10 14:59:43:526',3,22.553396,?
959,'2022/05/10 14:59:43:549',3,22.670528,?
960,'2022/05/10 14:59:43:589',3,22.565266,?
961,'2022/05/10 14:59:43:612',3,22.483093,?
962,'2022/05/10 14:59:48:521',4,22.659584,?
963,'2022/05/10 14:59:48:551',4,22.643206,?
964,'2022/05/10 14:59:48:591',4,22.624315,?
965,'2022/05/10 14:59:48:620',4,22.662773,?
966,'2022/05/10 14:59:48:670',4,22.64423,?
967,'2022/05/10 14:59:48:694',4,22.615311,?
968,'2022/05/10 14:59:48:742',4,22.622381,?
969,'2022/05/10 14:59:48:772',4,22.666016,?
970,'2022/05/10 14:59:48:805',4,22.99295,?
971,'2022/05/10 14:59:48:836',4,23.205889,?
972,'2022/05/10 14:59:48:860',4,23.38813,?
973,'2022/05/10 14:59:48:893',4,23.427744,?
974,'2022/05/10 14:59:48:927',4,23.596687,?
975,'2022/05/10 14:59:48:955',4,23.52426,?
976,'2022/05/10 14:59:48:996',4,23.453211,?
977,'2022/05/10 14:59:49:047',4,23.367762,?
978,'2022/05/10 14:59:49:071',4,23.320234,?
979,'2022/05/10 14:59:49:101',4,23.247761,?
980,'2022/05/10 14:59:49:144',4,23.173098,?
981,'2022/05/10 14:59:49:173',4,23.084826,?
982,'2022/05/10 14:59:49:203',4,23.067049,?
983,'2022/05/10 14:59:49:228',4,22.978931,?
984,'2022/05/10 14:59:49:265',4,23.027901,?
985,'2022/05/10 14:59:49:295',4,23.047634,?
986,'2022/05/10 14:59:49:319',4,22.914289,?
987,'2022/05/10 14:59:49:354',4,22.948698,?
988,'2022/05/10 14:59:49:391',4,22.8074,?
989,'2022/05/10 14:59:49:447',4,22.901524,?
990,'2022/05/10 14:59:49:473',4,22.838802,?
991,'2022/05/10 14:59:49:495',4,22.948639,?
992,'2022/05/10 14:59:49:538',4,22.947256,?
993,'2022/05/10 14:59:49:563',4,23.080555,?
994,'2022/05/10 14:59:49:608',4,23.122517,?
995,'2022/05/10 14:59:49:636',4,23.240196,?
996,'2022/05/10 14:59:49:658',4,23.153971,?
997,'2022/05/10 14:59:49:694',4,23.146612,?
998,'2022/05/10 14:59:49:732',4,23.082632,?
999,'2022/05/10 14:59:49:764',4,22.997082,?
1000,'2022/05/10 14:59:49:805',4,22.962873,?
1001,'2022/05/10 14:59:49:838',4,22.857367,?
1002,'2022/05/10 14:59:49:878',4,22.798264,?
1003,'2022/05/10 14:59:49:907',4,22.759075,?
1004,'2022/05/10 14:59:49:940',4,22.830561,?
1005,'2022/05/10 14:59:49:974',4,22.666945,?
1006,'2022/05/10 14:59:50:006',4,22.745115,?
1007,'2022/05/10 14:59:50:028',4,22.622702,?
1008,'2022/05/10 14:59:50:054',4,22.663574,?
1009,'2022/05/10 14:59:50:090',4,22.725103,?
1010,'2022/05/10 14:59:50:126',4,22.721203,?
1011,'2022/05/10 14:59:50:182',4,22.662786,?
1012,'2022/05/10 14:59:50:211',4,22.569414,?
1013,'2022/05/10 14:59:50:234',4,22.67952,?
1014,'2022/05/10 14:59:50:270',4,22.585283,?
1015,'2022/05/10 14:59:50:316',4,22.509092,?
1016,'2022/05/10 14:59:50:341',4,22.606789,?
1017,'2022/05/10 14:59:50:373',4,22.594587,?
1018,'2022/05/10 14:59:50:397',4,22.597542,?
1019,'2022/05/10 14:59:50:423',4,22.657463,?
1020,'2022/05/10 14:59:50:455',4,22.68685,?
1021,'2022/05/10 14:59:50:498',4,22.645876,?
1022,'2022/05/10 14:59:50:537',4,22.629917,?
1023,'2022/05/10 14:59:50:571',4,22.604803,?
1024,'2022/05/10 14:59:50:605',4,22.628366,?
1025,'2022/05/10 14:59:50:642',4,22.704756,?
1026,'2022/05/10 14:59:50:664',4,22.850273,?
1027,'2022/05/10 14:59:50:706',4,23.031126,?
1028,'2022/05/10 14:59:50:728',4,22.467995,?
1029,'2022/05/10 14:59:50:772',4,22.602482,?
1030,'2022/05/10 14:59:50:797',4,22.818094,?
1031,'2022/05/10 14:59:50:821',4,22.763365,?
1032,'2022/05/10 14:59:50:855',4,22.857817,?
1033,'2022/05/10 14:59:50:904',4,23.160557,?
1034,'2022/05/10 14:59:50:938',4,23.222435,?
1035,'2022/05/10 14:59:50:981',4,23.148287,?
1036,'2022/05/10 14:59:51:003',4,23.353262,?
1037,'2022/05/10 14:59:51:040',4,23.320644,?
1038,'2022/05/10 14:59:51:062',4,23.1938,?
1039,'2022/05/10 14:59:51:107',4,23.24258,?
1040,'2022/05/10 14:59:51:132',4,23.395533,?
1041,'2022/05/10 14:59:51:175',4,23.272778,?
1042,'2022/05/10 14:59:51:202',4,23.235764,?
1043,'2022/05/10 14:59:51:225',4,23.10931,?
1044,'2022/05/10 14:59:51:272',4,23.075825,?
1045,'2022/05/10 14:59:51:308',4,23.086893,?
1046,'2022/05/10 14:59:51:338',4,23.190155,?
1047,'2022/05/10 14:59:51:381',4,23.142124,?
1048,'2022/05/10 14:59:51:412',4,23.012798,?
1049,'2022/05/10 14:59:51:442',4,23.047033,?
1050,'2022/05/10 14:59:51:470',4,23.15382,?
1051,'2022/05/10 14:59:51:496',4,23.155792,?
1052,'2022/05/10 14:59:51:538',4,23.179585,?
1053,'2022/05/10 14:59:51:568',4,23.131355,?
1054,'2022/05/10 14:59:51:593',4,23.185081,?
1055,'2022/05/10 14:59:51:645',4,23.08008,?
1056,'2022/05/10 14:59:51:671',4,23.062943,?
1057,'2022/05/10 14:59:51:708',4,23.08959,?
1058,'2022/05/10 14:59:51:738',4,23.042711,?
1059,'2022/05/10 14:59:51:777',4,23.01108,?
1060,'2022/05/10 14:59:51:807',4,23.023426,?
1061,'2022/05/10 14:59:51:838',4,22.999714,?
1062,'2022/05/10 14:59:51:871',4,23.035341,?
1063,'2022/05/10 14:59:51:897',4,23.149059,?
1064,'2022/05/10 14:59:51:944',4,22.966852,?
1065,'2022/05/10 14:59:51:977',4,23.027002,?
1066,'2022/05/10 14:59:52:008',4,23.27224,?
1067,'2022/05/10 14:59:52:035',4,23.302956,?
1068,'2022/05/10 14:59:52:077',4,23.426502,?
1069,'2022/05/10 14:59:52:110',4,23.48576,?
1070,'2022/05/10 14:59:52:149',4,23.572372,?
1071,'2022/05/10 14:59:52:182',4,23.71702,?
1072,'2022/05/10 14:59:52:215',4,23.898266,?
1073,'2022/05/10 14:59:52:240',4,24.265299,?
1074,'2022/05/10 14:59:52:261',4,24.369801,?
1075,'2022/05/10 14:59:52:307',4,24.495737,?
1076,'2022/05/10 14:59:52:340',4,24.503475,?
1077,'2022/05/10 14:59:52:372',4,24.510866,?
1078,'2022/05/10 14:59:52:406',4,24.504578,?
1079,'2022/05/10 14:59:52:439',4,24.472494,?
1080,'2022/05/10 14:59:52:474',4,24.426268,?
1081,'2022/05/10 14:59:52:516',4,24.354006,?
1082,'2022/05/10 14:59:52:550',4,24.282429,?
1083,'2022/05/10 14:59:52:579',4,24.312263,?
1084,'2022/05/10 14:59:52:611',4,24.158836,?
1085,'2022/05/10 14:59:52:644',4,24.108027,?
1086,'2022/05/10 14:59:52:665',4,24.05526,?
1087,'2022/05/10 14:59:52:716',4,23.979485,?
1088,'2022/05/10 14:59:52:756',4,23.982616,?
1089,'2022/05/10 14:59:52:781',4,24.076021,?
1090,'2022/05/10 14:59:52:807',4,23.98414,?
1091,'2022/05/10 14:59:52:844',4,24.08429,?
1092,'2022/05/10 14:59:52:878',4,24.043289,?
1093,'2022/05/10 14:59:52:910',4,24.155882,?
1094,'2022/05/10 14:59:52:943',4,23.947699,?
1095,'2022/05/10 14:59:52:974',4,24.176868,?
1096,'2022/05/10 14:59:52:997',4,24.247717,?
1097,'2022/05/10 14:59:53:040',4,24.211597,?
1098,'2022/05/10 14:59:53:061',4,24.192022,?
1099,'2022/05/10 14:59:53:135',4,24.22967,?
1100,'2022/05/10 14:59:53:163',4,24.244087,?
1101,'2022/05/10 14:59:53:191',4,24.058363,?
1102,'2022/05/10 14:59:53:217',4,24.132139,?
1103,'2022/05/10 14:59:53:239',4,24.131659,?
1104,'2022/05/10 14:59:53:284',4,24.092384,?
1105,'2022/05/10 14:59:53:306',4,24.05743,?
1106,'2022/05/10 14:59:53:352',4,23.96806,?
1107,'2022/05/10 14:59:53:385',4,23.777246,?
1108,'2022/05/10 14:59:53:406',4,23.718903,?
1109,'2022/05/10 14:59:53:429',4,23.803099,?
1110,'2022/05/10 14:59:53:498',4,23.769283,?
1111,'2022/05/10 14:59:53:533',4,23.570358,?
1112,'2022/05/10 14:59:53:564',4,23.50807,?
1113,'2022/05/10 14:59:53:587',4,23.414259,?
1114,'2022/05/10 14:59:53:608',4,23.40004,?
1115,'2022/05/10 14:59:53:651',4,23.312527,?
1116,'2022/05/10 14:59:53:674',4,23.39484,?
1117,'2022/05/10 14:59:53:712',4,23.308821,?
1118,'2022/05/10 14:59:53:743',4,23.303289,?
1119,'2022/05/10 14:59:53:768',4,23.247047,?
1120,'2022/05/10 14:59:53:806',4,23.252041,?
1121,'2022/05/10 14:59:53:858',4,23.295458,?
1122,'2022/05/10 14:59:53:889',4,23.358217,?
1123,'2022/05/10 14:59:53:921',4,23.22846,?
1124,'2022/05/10 14:59:53:954',4,23.302483,?
1125,'2022/05/10 14:59:53:985',4,23.284401,?
1126,'2022/05/10 14:59:54:008',4,23.354395,?
1127,'2022/05/10 14:59:54:050',4,23.23502,?
1128,'2022/05/10 14:59:54:080',4,23.256588,?
1129,'2022/05/10 14:59:54:103',4,22.983429,?
1130,'2022/05/10 14:59:54:148',4,23.022047,?
1131,'2022/05/10 14:59:54:171',4,22.977655,?
1132,'2022/05/10 14:59:54:212',4,23.036459,?
1133,'2022/05/10 14:59:54:269',4,23.05773,?
1134,'2022/05/10 14:59:54:302',4,23.262501,?
1135,'2022/05/10 14:59:54:338',4,23.114693,?
1136,'2022/05/10 14:59:54:373',4,23.087027,?
